lot_id,wafer_id,defect_type,x,y,severity,detected_at_step
LOT-2001,LOT-2001-W01,particle,0.245,0.1704,minor,litho
LOT-2001,LOT-2001-W01,void,-0.7173,-0.5472,major,litho
LOT-2001,LOT-2001-W01,particle,-0.1118,-0.8733,major,litho
LOT-2001,LOT-2001-W01,bridging,0.7074,-0.1206,major,litho
LOT-2001,LOT-2001-W01,particle,-0.571,-0.1937,major,litho
LOT-2001,LOT-2001-W01,particle,-0.6563,-0.6049,major,litho
LOT-2001,LOT-2001-W01,particle,-0.8044,-0.4249,minor,litho
LOT-2001,LOT-2001-W01,particle,0.7887,0.2336,major,litho
LOT-2001,LOT-2001-W01,bridging,-0.1146,0.4536,minor,litho
LOT-2001,LOT-2001-W01,particle,0.0299,0.2752,critical,litho
LOT-2001,LOT-2001-W01,particle,-0.0545,0.3067,minor,litho
LOT-2001,LOT-2001-W01,void,-0.5161,0.5866,major,litho
LOT-2001,LOT-2001-W01,particle,0.1501,0.5771,major,litho
LOT-2001,LOT-2001-W01,bridging,0.4668,-0.1963,minor,litho
LOT-2001,LOT-2001-W01,bridging,-0.6106,-0.4995,minor,litho
LOT-2001,LOT-2001-W01,particle,-0.053,-0.4019,minor,litho
LOT-2001,LOT-2001-W01,particle,-0.2878,0.2722,minor,litho
LOT-2001,LOT-2001-W01,particle,-0.6214,-0.7511,minor,litho
LOT-2001,LOT-2001-W01,particle,-0.2921,-0.6705,major,litho
LOT-2001,LOT-2001-W01,particle,0.1463,-0.8877,minor,litho
LOT-2001,LOT-2001-W01,void,0.4595,0.094,major,litho
LOT-2001,LOT-2001-W01,particle,-0.0612,0.547,major,litho
LOT-2001,LOT-2001-W02,void,-0.898,-0.0433,minor,cvd
LOT-2001,LOT-2001-W02,void,-0.3069,0.3112,major,cvd
LOT-2001,LOT-2001-W02,particle,0.3772,-0.1135,major,cvd
LOT-2001,LOT-2001-W02,void,0.8205,-0.4612,major,cvd
LOT-2001,LOT-2001-W02,particle,-0.7565,0.0543,critical,cvd
LOT-2001,LOT-2001-W02,particle,-0.2136,0.2486,minor,cvd
LOT-2001,LOT-2001-W02,particle,0.3397,-0.9115,critical,cvd
LOT-2001,LOT-2001-W02,void,0.0275,0.4788,critical,cvd
LOT-2001,LOT-2001-W02,particle,0.6496,0.3506,critical,cvd
LOT-2001,LOT-2001-W02,particle,0.3379,-0.7673,minor,cvd
LOT-2001,LOT-2001-W02,particle,-0.9488,-0.1978,major,cvd
LOT-2001,LOT-2001-W02,particle,-0.1867,-0.2931,minor,cvd
LOT-2001,LOT-2001-W02,void,0.4848,0.8212,minor,cvd
LOT-2001,LOT-2001-W02,particle,-0.5581,-0.4419,major,cvd
LOT-2001,LOT-2001-W02,particle,0.868,-0.4157,critical,cvd
LOT-2001,LOT-2001-W03,particle,-0.6242,0.1312,minor,cvd
LOT-2001,LOT-2001-W03,particle,-0.3875,-0.7416,major,cvd
LOT-2001,LOT-2001-W03,particle,0.7922,0.5636,minor,cvd
LOT-2001,LOT-2001-W03,particle,-0.3309,0.5265,major,cvd
LOT-2001,LOT-2001-W03,void,0.0077,0.9097,major,cvd
LOT-2001,LOT-2001-W03,particle,-0.4053,0.1356,minor,cvd
LOT-2001,LOT-2001-W03,particle,-0.1136,0.6263,minor,cvd
LOT-2001,LOT-2001-W03,particle,0.434,-0.2271,minor,cvd
LOT-2001,LOT-2001-W03,particle,0.4201,-0.4991,minor,cvd
LOT-2001,LOT-2001-W03,particle,0.6906,0.2272,major,cvd
LOT-2001,LOT-2001-W03,particle,0.5041,-0.84,major,cvd
LOT-2001,LOT-2001-W03,particle,0.8633,-0.4306,minor,cvd
LOT-2001,LOT-2001-W03,particle,0.4532,0.7809,major,cvd
LOT-2001,LOT-2001-W03,bridging,0.1542,0.6653,minor,cvd
LOT-2001,LOT-2001-W03,particle,0.579,0.2235,major,cvd
LOT-2001,LOT-2001-W03,particle,0.6007,-0.0556,minor,cvd
LOT-2001,LOT-2001-W03,void,0.1072,-0.4932,minor,cvd
LOT-2001,LOT-2001-W03,particle,-0.5852,0.3075,major,cvd
LOT-2001,LOT-2001-W03,void,0.9585,-0.0276,minor,cvd
LOT-2001,LOT-2001-W03,particle,-0.1441,-0.7162,minor,cvd
LOT-2001,LOT-2001-W03,particle,-0.1115,0.3691,critical,cvd
LOT-2001,LOT-2001-W03,void,-0.8476,-0.4603,major,cvd
LOT-2001,LOT-2001-W03,particle,-0.0092,-0.7216,minor,cvd
LOT-2001,LOT-2001-W03,particle,-0.2023,-0.1182,major,cvd
LOT-2001,LOT-2001-W03,particle,0.418,-0.5552,minor,cvd
LOT-2001,LOT-2001-W04,bridging,-0.154,-0.7464,minor,cvd
