lot_id,injected_cause_step,injected_cause_tool_id,injected_cause_parameter,injected_signature
LOT-2201,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2202,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2203,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2204,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2205,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2206,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2207,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2208,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2209,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2210,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2211,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2212,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2213,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2214,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2215,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2216,etch,ETCH-07,chamber_pressure,edge-ring
LOT-2220,litho,LITHO-03,focus_offset,center-cluster
LOT-2221,litho,LITHO-03,focus_offset,center-cluster
LOT-2222,litho,LITHO-03,focus_offset,center-cluster
LOT-2223,litho,LITHO-03,focus_offset,center-cluster
LOT-2224,litho,LITHO-03,focus_offset,center-cluster
LOT-2225,litho,LITHO-03,focus_offset,center-cluster
LOT-2226,litho,LITHO-03,focus_offset,center-cluster
LOT-2227,litho,LITHO-03,focus_offset,center-cluster
LOT-2228,litho,LITHO-03,focus_offset,center-cluster
LOT-2229,litho,LITHO-03,focus_offset,center-cluster
LOT-2230,litho,LITHO-03,focus_offset,center-cluster
LOT-2231,litho,LITHO-03,focus_offset,center-cluster
LOT-2232,litho,LITHO-03,focus_offset,center-cluster
LOT-2233,litho,LITHO-03,focus_offset,center-cluster
LOT-2234,litho,LITHO-03,focus_offset,center-cluster
LOT-2240,cmp,CMP-02,head_downforce,scratch
LOT-2241,cmp,CMP-02,head_downforce,scratch
LOT-2242,cmp,CMP-02,head_downforce,scratch
LOT-2243,cmp,CMP-02,head_downforce,scratch
LOT-2244,cmp,CMP-02,head_downforce,scratch
LOT-2245,cmp,CMP-02,head_downforce,scratch
LOT-2246,cmp,CMP-02,head_downforce,scratch
LOT-2247,cmp,CMP-02,head_downforce,scratch
LOT-2248,cmp,CMP-02,head_downforce,scratch
LOT-2249,cmp,CMP-02,head_downforce,scratch
LOT-2250,cmp,CMP-02,head_downforce,scratch
LOT-2251,cmp,CMP-02,head_downforce,scratch
LOT-2252,cmp,CMP-02,head_downforce,scratch
LOT-2253,cmp,CMP-02,head_downforce,scratch
LOT-2260,cvd,CVD-05,deposition_temp,donut
LOT-2261,cvd,CVD-05,deposition_temp,donut
LOT-2262,cvd,CVD-05,deposition_temp,donut
LOT-2263,cvd,CVD-05,deposition_temp,donut
LOT-2264,cvd,CVD-05,deposition_temp,donut
LOT-2265,cvd,CVD-05,deposition_temp,donut
LOT-2266,cvd,CVD-05,deposition_temp,donut
LOT-2267,cvd,CVD-05,deposition_temp,donut
LOT-2268,cvd,CVD-05,deposition_temp,donut
LOT-2269,cvd,CVD-05,deposition_temp,donut
LOT-2270,cvd,CVD-05,deposition_temp,donut
LOT-2271,cvd,CVD-05,deposition_temp,donut
LOT-2272,cvd,CVD-05,deposition_temp,donut
LOT-2273,cvd,CVD-05,deposition_temp,donut
LOT-2274,cvd,CVD-05,deposition_temp,donut
LOT-2280,implant,IMP-01,beam_current,random
LOT-2281,implant,IMP-01,beam_current,random
LOT-2282,implant,IMP-01,beam_current,random
LOT-2283,implant,IMP-01,beam_current,random
LOT-2284,implant,IMP-01,beam_current,random
LOT-2285,implant,IMP-01,beam_current,random
LOT-2286,implant,IMP-01,beam_current,random
LOT-2287,implant,IMP-01,beam_current,random
LOT-2288,implant,IMP-01,beam_current,random
LOT-2289,implant,IMP-01,beam_current,random
LOT-2290,implant,IMP-01,beam_current,random
LOT-2291,implant,IMP-01,beam_current,random
LOT-2292,implant,IMP-01,beam_current,random
LOT-2293,implant,IMP-01,beam_current,random
