lot_id,step_name,tool_id,parameter_name,value,spec_min,spec_max,timestamp
LOT-2001,litho,LITHO-02,exposure_energy,24.5556,23.7,25.3,2026-03-02T08:00:00
LOT-2001,litho,LITHO-02,focus_offset,0.6685,-7.5,7.5,2026-03-02T08:00:00
LOT-2001,litho,LITHO-02,numerical_aperture,1.3498,1.339,1.361,2026-03-02T08:00:00
LOT-2001,etch,ETCH-01,chamber_pressure,14.6271,13.8,16.2,2026-03-02T09:12:00
LOT-2001,etch,ETCH-01,rf_power_forward,853.8132,828.0,872.0,2026-03-02T09:12:00
LOT-2001,etch,ETCH-01,gas_flow_cl2,120.1334,115.8,124.2,2026-03-02T09:12:00
LOT-2001,cvd,CVD-05,deposition_temp,400.893,394.5,405.5,2026-03-02T10:29:00
LOT-2001,cvd,CVD-05,chamber_pressure,4.0056,3.79,4.21,2026-03-02T10:29:00
LOT-2001,cvd,CVD-05,rf_bias,248.2428,240.0,260.0,2026-03-02T10:29:00
LOT-2001,cmp,CMP-04,head_downforce,3.4569,3.33,3.67,2026-03-02T11:28:00
LOT-2001,cmp,CMP-04,platen_rpm,74.2136,72.9,77.1,2026-03-02T11:28:00
LOT-2001,cmp,CMP-04,slurry_flow_rate,178.3535,173.0,187.0,2026-03-02T11:28:00
LOT-2001,implant,IMP-01,beam_current,11.9702,11.58,12.42,2026-03-02T12:13:00
LOT-2001,implant,IMP-01,acceleration_energy,79.6328,78.2,81.8,2026-03-02T12:13:00
LOT-2001,implant,IMP-01,tilt_angle,7.0716,6.79,7.21,2026-03-02T12:13:00
LOT-2002,litho,LITHO-04,exposure_energy,24.8891,23.7,25.3,2026-03-02T03:16:00
LOT-2002,litho,LITHO-04,focus_offset,4.2954,-7.5,7.5,2026-03-02T03:16:00
LOT-2002,litho,LITHO-04,numerical_aperture,1.3542,1.339,1.361,2026-03-02T03:16:00
LOT-2002,etch,ETCH-06,chamber_pressure,15.2458,13.8,16.2,2026-03-02T04:31:00
LOT-2002,etch,ETCH-06,rf_power_forward,847.2739,828.0,872.0,2026-03-02T04:31:00
LOT-2002,etch,ETCH-06,gas_flow_cl2,118.8756,115.8,124.2,2026-03-02T04:31:00
LOT-2002,cvd,CVD-06,deposition_temp,400.9003,394.5,405.5,2026-03-02T05:30:00
LOT-2002,cvd,CVD-06,chamber_pressure,4.0241,3.79,4.21,2026-03-02T05:30:00
LOT-2002,cvd,CVD-06,rf_bias,251.4684,240.0,260.0,2026-03-02T05:30:00
LOT-2002,cmp,CMP-03,head_downforce,3.5219,3.33,3.67,2026-03-02T06:41:00
LOT-2002,cmp,CMP-03,platen_rpm,75.3732,72.9,77.1,2026-03-02T06:41:00
LOT-2002,cmp,CMP-03,slurry_flow_rate,177.6562,173.0,187.0,2026-03-02T06:41:00
LOT-2002,implant,IMP-03,beam_current,12.1323,11.58,12.42,2026-03-02T07:57:00
LOT-2002,implant,IMP-03,acceleration_energy,79.6357,78.2,81.8,2026-03-02T07:57:00
LOT-2002,implant,IMP-03,tilt_angle,6.936,6.79,7.21,2026-03-02T07:57:00
LOT-2003,litho,LITHO-04,exposure_energy,24.6786,23.7,25.3,2026-03-02T00:54:00
LOT-2003,litho,LITHO-04,focus_offset,-0.8981,-7.5,7.5,2026-03-02T00:54:00
LOT-2003,litho,LITHO-04,numerical_aperture,1.3517,1.339,1.361,2026-03-02T00:54:00
LOT-2003,etch,ETCH-01,chamber_pressure,15.0825,13.8,16.2,2026-03-02T01:44:00
LOT-2003,etch,ETCH-01,rf_power_forward,847.9631,828.0,872.0,2026-03-02T01:44:00
LOT-2003,etch,ETCH-01,gas_flow_cl2,117.6735,115.8,124.2,2026-03-02T01:44:00
LOT-2003,cvd,CVD-05,deposition_temp,399.3788,394.5,405.5,2026-03-02T02:54:00
LOT-2003,cvd,CVD-05,chamber_pressure,3.9652,3.79,4.21,2026-03-02T02:54:00
LOT-2003,cvd,CVD-05,rf_bias,250.7974,240.0,260.0,2026-03-02T02:54:00
LOT-2003,cmp,CMP-04,head_downforce,3.4967,3.33,3.67,2026-03-02T03:50:00
LOT-2003,cmp,CMP-04,platen_rpm,74.6825,72.9,77.1,2026-03-02T03:50:00
LOT-2003,cmp,CMP-04,slurry_flow_rate,180.4269,173.0,187.0,2026-03-02T03:50:00
LOT-2003,implant,IMP-02,beam_current,12.0608,11.58,12.42,2026-03-02T05:08:00
