lot_id,product_id,start_time,fab_line,final_yield_pct,status
LOT-2240,PROD-5NM-MODEM,2026-03-01T16:00:00,LINE-02-FAB12,73.54,completed
LOT-2260,PROD-3NM-SOC,2026-03-01T16:00:00,LINE-02-FAB12,85.49,completed
LOT-2201,PROD-3NM-SOC,2026-03-01T20:00:00,LINE-02-FAB12,76.67,completed
LOT-2003,PROD-5NM-MODEM,2026-03-02T00:00:00,LINE-01-FAB12,97.28,completed
LOT-2002,PROD-5NM-GPU,2026-03-02T02:00:00,LINE-02-FAB12,95.19,completed
LOT-2262,PROD-5NM-GPU,2026-03-02T04:00:00,LINE-02-FAB12,81.07,completed
LOT-2001,PROD-3NM-SOC,2026-03-02T07:00:00,LINE-01-FAB12,96.99,completed
LOT-2004,PROD-5NM-MODEM,2026-03-02T11:00:00,LINE-01-FAB12,96.17,completed
LOT-2007,PROD-3NM-AI-ACCEL,2026-03-02T12:00:00,LINE-02-FAB12,95.72,completed
LOT-2223,PROD-5NM-GPU,2026-03-02T12:00:00,LINE-02-FAB12,81.63,completed
LOT-2280,PROD-3NM-AI-ACCEL,2026-03-02T12:00:00,LINE-02-FAB12,80.42,completed
LOT-2006,PROD-5NM-MODEM,2026-03-02T16:00:00,LINE-02-FAB12,97.24,completed
LOT-2221,PROD-5NM-GPU,2026-03-02T16:00:00,LINE-01-FAB12,79.1,completed
LOT-2263,PROD-3NM-SOC,2026-03-02T17:00:00,LINE-02-FAB12,83.39,completed
LOT-2222,PROD-5NM-MODEM,2026-03-02T18:00:00,LINE-02-FAB12,79.33,completed
LOT-2261,PROD-3NM-SOC,2026-03-02T18:00:00,LINE-01-FAB12,81.31,completed
LOT-2009,PROD-3NM-SOC,2026-03-02T23:00:00,LINE-02-FAB12,96.7,completed
LOT-2244,PROD-5NM-MODEM,2026-03-02T23:00:00,LINE-02-FAB12,74.13,completed
LOT-2206,PROD-5NM-GPU,2026-03-03T00:00:00,LINE-02-FAB12,75.26,completed
LOT-2220,PROD-5NM-MODEM,2026-03-03T01:00:00,LINE-01-FAB12,80.93,completed
LOT-2282,PROD-3NM-SOC,2026-03-03T01:00:00,LINE-02-FAB12,80.5,completed
LOT-2285,PROD-5NM-MODEM,2026-03-03T02:00:00,LINE-01-FAB12,79.97,completed
LOT-2005,PROD-5NM-MODEM,2026-03-03T03:00:00,LINE-01-FAB12,95.12,completed
LOT-2203,PROD-3NM-AI-ACCEL,2026-03-03T05:00:00,LINE-01-FAB12,77.01,completed
LOT-2204,PROD-3NM-SOC,2026-03-03T05:00:00,LINE-01-FAB12,74.95,completed
LOT-2241,PROD-5NM-MODEM,2026-03-03T05:00:00,LINE-01-FAB12,70.94,completed
LOT-2264,PROD-5NM-GPU,2026-03-03T05:00:00,LINE-02-FAB12,85.42,completed
LOT-2283,PROD-5NM-MODEM,2026-03-03T05:00:00,LINE-01-FAB12,80.58,completed
LOT-2284,PROD-5NM-MODEM,2026-03-03T08:00:00,LINE-02-FAB12,80.45,completed
LOT-2281,PROD-5NM-GPU,2026-03-03T09:00:00,LINE-02-FAB12,77.8,completed
LOT-2207,PROD-5NM-GPU,2026-03-03T10:00:00,LINE-01-FAB12,74.98,completed
LOT-2224,PROD-3NM-SOC,2026-03-03T10:00:00,LINE-01-FAB12,83.3,completed
LOT-2265,PROD-3NM-SOC,2026-03-03T10:00:00,LINE-01-FAB12,83.17,completed
LOT-2286,PROD-3NM-SOC,2026-03-03T11:00:00,LINE-02-FAB12,78.01,completed
LOT-2011,PROD-3NM-SOC,2026-03-03T12:00:00,LINE-01-FAB12,94.91,completed
LOT-2243,PROD-3NM-SOC,2026-03-03T12:00:00,LINE-01-FAB12,70.31,completed
LOT-2202,PROD-3NM-AI-ACCEL,2026-03-03T14:00:00,LINE-02-FAB12,75.19,completed
LOT-2247,PROD-3NM-AI-ACCEL,2026-03-03T14:00:00,LINE-01-FAB12,71.22,completed
LOT-2225,PROD-5NM-MODEM,2026-03-03T15:00:00,LINE-02-FAB12,79.16,completed
LOT-2008,PROD-5NM-GPU,2026-03-03T16:00:00,LINE-02-FAB12,95.91,completed
LOT-2010,PROD-5NM-GPU,2026-03-03T17:00:00,LINE-02-FAB12,96.46,completed
LOT-2242,PROD-3NM-AI-ACCEL,2026-03-03T17:00:00,LINE-01-FAB12,72.57,completed
LOT-2014,PROD-3NM-SOC,2026-03-03T18:00:00,LINE-01-FAB12,96.95,completed
LOT-2229,PROD-3NM-AI-ACCEL,2026-03-03T22:00:00,LINE-01-FAB12,83.07,completed
LOT-2266,PROD-3NM-AI-ACCEL,2026-03-03T22:00:00,LINE-02-FAB12,84.16,completed
LOT-2012,PROD-3NM-SOC,2026-03-04T02:00:00,LINE-02-FAB12,94.24,completed
LOT-2267,PROD-3NM-SOC,2026-03-04T03:00:00,LINE-01-FAB12,84.4,completed
LOT-2228,PROD-5NM-MODEM,2026-03-04T04:00:00,LINE-02-FAB12,79.3,completed
LOT-2268,PROD-3NM-SOC,2026-03-04T04:00:00,LINE-01-FAB12,84.03,completed
LOT-2270,PROD-3NM-AI-ACCEL,2026-03-04T04:00:00,LINE-01-FAB12,81.63,completed
LOT-2287,PROD-5NM-MODEM,2026-03-04T04:00:00,LINE-01-FAB12,80.7,completed
LOT-2208,PROD-5NM-GPU,2026-03-04T05:00:00,LINE-02-FAB12,76.95,completed
LOT-2245,PROD-3NM-SOC,2026-03-04T06:00:00,LINE-01-FAB12,71.39,completed
LOT-2205,PROD-3NM-AI-ACCEL,2026-03-04T07:00:00,LINE-02-FAB12,75.63,completed
LOT-2013,PROD-3NM-SOC,2026-03-04T09:00:00,LINE-02-FAB12,96.09,completed
LOT-2246,PROD-3NM-AI-ACCEL,2026-03-04T09:00:00,LINE-02-FAB12,71.77,completed
LOT-2016,PROD-5NM-MODEM,2026-03-04T10:00:00,LINE-01-FAB12,98.0,completed
LOT-2271,PROD-5NM-GPU,2026-03-04T10:00:00,LINE-01-FAB12,83.91,completed
LOT-2269,PROD-5NM-MODEM,2026-03-04T11:00:00,LINE-01-FAB12,82.09,completed
LOT-2211,PROD-3NM-AI-ACCEL,2026-03-04T12:00:00,LINE-01-FAB12,74.59,completed
LOT-2288,PROD-5NM-MODEM,2026-03-04T12:00:00,LINE-01-FAB12,80.67,completed
LOT-2017,PROD-3NM-SOC,2026-03-04T14:00:00,LINE-01-FAB12,96.48,completed
LOT-2250,PROD-5NM-GPU,2026-03-04T14:00:00,LINE-01-FAB12,71.92,completed
LOT-2289,PROD-5NM-GPU,2026-03-04T14:00:00,LINE-01-FAB12,78.44,completed
LOT-2015,PROD-3NM-SOC,2026-03-04T15:00:00,LINE-01-FAB12,96.57,completed
LOT-2226,PROD-5NM-GPU,2026-03-04T15:00:00,LINE-01-FAB12,83.29,completed
LOT-2210,PROD-5NM-MODEM,2026-03-04T16:00:00,LINE-02-FAB12,75.01,completed
LOT-2301,PROD-5NM-MODEM,2026-03-04T16:00:00,LINE-02-FAB12,,at_risk
LOT-2227,PROD-5NM-MODEM,2026-03-04T18:00:00,LINE-01-FAB12,82.1,completed
LOT-2302,PROD-5NM-GPU,2026-03-04T18:00:00,LINE-01-FAB12,,in_progress
LOT-2018,PROD-3NM-AI-ACCEL,2026-03-04T19:00:00,LINE-02-FAB12,94.63,completed
LOT-2213,PROD-3NM-AI-ACCEL,2026-03-04T19:00:00,LINE-02-FAB12,74.07,completed
LOT-2303,PROD-3NM-AI-ACCEL,2026-03-04T20:00:00,LINE-02-FAB12,,in_progress
LOT-2249,PROD-3NM-SOC,2026-03-04T21:00:00,LINE-01-FAB12,70.21,completed
LOT-2251,PROD-3NM-SOC,2026-03-04T21:00:00,LINE-02-FAB12,74.39,completed
LOT-2304,PROD-5NM-GPU,2026-03-04T22:00:00,LINE-01-FAB12,,in_progress
LOT-2231,PROD-3NM-SOC,2026-03-05T00:00:00,LINE-01-FAB12,80.34,completed
LOT-2305,PROD-5NM-MODEM,2026-03-05T00:00:00,LINE-01-FAB12,,at_risk
LOT-2230,PROD-3NM-AI-ACCEL,2026-03-05T02:00:00,LINE-01-FAB12,83.12,completed
LOT-2273,PROD-3NM-AI-ACCEL,2026-03-05T02:00:00,LINE-01-FAB12,82.17,completed
LOT-2306,PROD-3NM-AI-ACCEL,2026-03-05T02:00:00,LINE-01-FAB12,,in_progress
LOT-2212,PROD-5NM-GPU,2026-03-05T03:00:00,LINE-01-FAB12,76.64,completed
LOT-2019,PROD-5NM-GPU,2026-03-05T04:00:00,LINE-01-FAB12,97.56,completed
LOT-2021,PROD-3NM-AI-ACCEL,2026-03-05T04:00:00,LINE-02-FAB12,94.75,completed
LOT-2307,PROD-3NM-AI-ACCEL,2026-03-05T04:00:00,LINE-01-FAB12,,in_progress
LOT-2291,PROD-5NM-GPU,2026-03-05T05:00:00,LINE-02-FAB12,77.74,completed
LOT-2023,PROD-3NM-AI-ACCEL,2026-03-05T06:00:00,LINE-02-FAB12,95.12,completed
LOT-2209,PROD-3NM-AI-ACCEL,2026-03-05T06:00:00,LINE-01-FAB12,78.04,completed
LOT-2248,PROD-3NM-AI-ACCEL,2026-03-05T06:00:00,LINE-02-FAB12,73.65,completed
LOT-2308,PROD-3NM-AI-ACCEL,2026-03-05T06:00:00,LINE-01-FAB12,,at_risk
LOT-2022,PROD-3NM-SOC,2026-03-05T08:00:00,LINE-02-FAB12,93.9,completed
LOT-2272,PROD-3NM-AI-ACCEL,2026-03-05T08:00:00,LINE-02-FAB12,81.04,completed
